Timestamp,URL,Price (JPY),Total Price
2025-03-15 17:50:00,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 17:50:04,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 17:50:07,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 18:13:03,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 18:13:10,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 18:13:14,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 18:35:12,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 18:35:16,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 18:35:20,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 18:45:54,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 18:45:57,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 18:46:01,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 19:07:26,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 19:07:30,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 19:07:34,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 19:25:06,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 19:25:11,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 19:25:14,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 19:42:18,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
2025-03-15 19:42:22,https://www.beforward.jp/toyota/corolla-fielder/bx110228/id/10331058/,"$10,760","13,024"
2025-03-15 19:42:25,https://www.beforward.jp/toyota/probox/bw892545/id/10157960/,"$12,060","14,139"
2025-03-15 20:10:37,https://www.beforward.jp/toyota/land-cruiser-prado/bw759006/id/10023141/,"$33,190","36,308"
